"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.486765000E-1,1.934277649E0,1.061652283E1,3.290457458E0,1.128180381E1
9.586545001E-1,2.654729462E0,1.040965302E1,3.963158569E0,1.145054978E1
9.686314999E-1,2.827919312E0,9.993218994E0,4.176015930E0,1.119377785E1
9.786095000E-1,2.404599609E0,9.298363953E0,3.602708130E0,1.025773744E1
9.885875001E-1,2.124532013E0,8.548124084E0,2.853516083E0,9.258866868E0
9.985644999E-1,1.815275116E0,7.858508148E0,2.576142883E0,8.466869919E0
1.008542500E0,1.399739227E0,7.561675415E0,2.887345734E0,8.214314967E0
1.018519500E0,1.041234741E0,7.255262604E0,3.569926300E0,8.152752849E0
1.028497500E0,1.115330658E0,7.205266571E0,4.087849274E0,8.358848038E0
1.038474500E0,1.404379578E0,7.022197266E0,4.217330017E0,8.310800738E0
1.048452500E0,1.213077393E0,7.202572174E0,3.860921173E0,8.261677492E0
1.058429500E0,6.535409546E-1,7.504793701E0,3.560795288E0,8.332365052E0
1.068407500E0,-2.395019531E-3,7.635471954E0,3.518583069E0,8.407191238E0
1.078384500E0,-5.176235962E-1,7.670199738E0,3.703598328E0,8.533260735E0
1.088362500E0,-8.322692871E-1,7.745792542E0,3.989952850E0,8.752696614E0
1.098340500E0,-9.524693298E-1,7.865094452E0,4.229903870E0,8.981035314E0
1.108317500E0,-9.261241150E-1,7.998467102E0,4.570595398E0,9.258699917E0
1.118295500E0,-8.393046570E-1,8.098159790E0,4.938979340E0,9.522507086E0
1.128272500E0,-7.183561707E-1,8.220904541E0,5.087320862E0,9.694335491E0
1.138250500E0,-5.321434021E-1,8.317304077E0,5.147944794E0,9.796022627E0
1.148227500E0,-1.954934692E-1,8.309220886E0,5.218747559E0,9.814106965E0
1.158205500E0,2.032772827E-1,8.217312012E0,5.301076355E0,9.780948260E0
1.168182500E0,5.399272156E-1,8.040679321E0,5.261857910E0,9.624510066E0
1.178160500E0,5.923182678E-1,7.758516083E0,5.064867554E0,9.284303747E0
1.188137500E0,4.291575623E-1,7.478897552E0,4.833748169E0,8.915335449E0
1.198115500E0,1.907034302E-1,7.352410583E0,4.819378052E0,8.793219774E0
1.208092500E0,-4.041595459E-2,7.375612335E0,5.070256348E0,8.950351401E0
