"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.007338958E0,-9.503055677E0,-1.553037785E1,5.583057160E0,1.904392897E1
2.017305958E0,-8.242356806E0,-1.573580808E1,5.274969707E0,1.853044541E1
2.027273958E0,-7.047675923E0,-1.591926798E1,4.622392958E0,1.801275508E1
2.037240958E0,-5.783670452E0,-1.600616696E1,3.478707105E0,1.737094205E1
2.047207958E0,-4.191225708E0,-1.587680667E1,2.191859193E0,1.656633966E1
2.057174958E0,-2.710859224E0,-1.596674503E1,1.300163776E0,1.624734226E1
2.067142958E0,-1.133906677E0,-1.652827069E1,8.748184521E-1,1.659020144E1
2.077109958E0,2.952884835E-1,-1.703976173E1,9.328719480E-1,1.706783305E1
2.087076958E0,1.393625379E0,-1.765175003E1,1.195924147E0,1.774701962E1
2.097043958E0,2.369887614E0,-1.874228849E1,1.397427531E0,1.894313989E1
2.107011958E0,3.000723245E0,-1.993752954E1,1.784965635E0,2.024093689E1
2.116978958E0,3.754574938E0,-2.133402707E1,2.285049923E0,2.178207972E1
2.126945958E0,4.550215513E0,-2.271019734E1,2.504494611E0,2.329656665E1
2.136912958E0,5.172277982E0,-2.375705476E1,2.580935261E0,2.445018072E1
2.146880958E0,6.450798581E0,-2.467094182E1,2.136967871E0,2.558974022E1
2.156847958E0,7.925687978E0,-2.547983628E1,1.492508812E0,2.672575854E1
2.166814958E0,9.655442303E0,-2.616409851E1,1.096549401E0,2.791039300E1
2.176781958E0,1.112092704E1,-2.636430016E1,1.052178390E0,2.863316993E1
2.186749958E0,1.259416109E1,-2.609444414E1,1.187505180E0,2.899901855E1
2.196716958E0,1.419717292E1,-2.542949409E1,1.046486710E0,2.914299270E1
2.206683958E0,1.519899275E1,-2.448257494E1,1.206424431E0,2.884200611E1
2.216650958E0,1.618303705E1,-2.319786916E1,1.733463213E0,2.833790247E1
2.226618958E0,1.693105497E1,-2.173347610E1,2.319433744E0,2.764750221E1
2.236585958E0,1.765223067E1,-2.003636853E1,2.949280611E0,2.686550889E1
2.246552958E0,1.823824798E1,-1.830727436E1,3.462365599E0,2.607255184E1
2.256519958E0,1.844462078E1,-1.681650334E1,4.180100795E0,2.530754952E1
2.266487958E0,1.812749820E1,-1.526852550E1,5.132193564E0,2.425022624E1
2.276454958E0,1.794880963E1,-1.399446633E1,5.942565029E0,2.352273228E1
2.286421958E0,1.801266240E1,-1.297121996E1,6.550344504E0,2.314336983E1
2.296388958E0,1.768622404E1,-1.198666813E1,6.878483815E0,2.244540651E1
2.306356958E0,1.730744375E1,-1.116499166E1,6.976246337E0,2.174563544E1
2.316323958E0,1.691846124E1,-1.011478729E1,6.987600460E0,2.091338836E1
2.326290958E0,1.651763577E1,-9.325642968E0,6.949411125E0,2.020134212E1
2.336257917E0,1.597423297E1,-8.662397974E0,7.232578331E0,1.955820664E1
2.346224917E0,1.549289369E1,-8.300891528E0,7.805524188E0,1.923176442E1
2.356192917E0,1.534485505E1,-7.780236735E0,8.783723606E0,1.931710280E1
2.366159917E0,1.517582608E1,-6.720954562E0,1.014636225E1,1.945316412E1
2.376126917E0,1.483559882E1,-5.681211446E0,1.134731252E1,1.952261912E1
2.386094917E0,1.477590343E1,-4.635123516E0,1.245845306E1,1.987522943E1
2.396061917E0,1.474076049E1,-3.524629675E0,1.339096117E1,2.022451174E1
2.406028917E0,1.461998275E1,-2.407565902E0,1.398542653E1,2.037479875E1
2.415995917E0,1.439198227E1,-1.336452473E0,1.427354107E1,2.031376955E1
2.425962917E0,1.402809016E1,-7.133831137E-1,1.429183349E1,2.003878074E1
2.435930917E0,1.359046466E1,-1.393596143E-1,1.438824122E1,1.979246412E1
2.445897917E0,1.321573064E1,4.942698169E-1,1.484960641E1,1.988493524E1
2.455864917E0,1.280026959E1,9.090689564E-1,1.541016144E1,2.005358780E1
2.465831917E0,1.254244597E1,1.500509557E0,1.600660199E1,2.039058085E1
2.475799917E0,1.236794401E1,2.280458543E0,1.673888038E1,2.093696842E1
2.485766917E0,1.233648482E1,3.008131083E0,1.745785753E1,2.158736899E1
2.495733917E0,1.245205036E1,4.015344384E0,1.798361460E1,2.223931075E1
2.505700917E0,1.258446757E1,4.958126632E0,1.835555131E1,2.280083568E1
2.515668917E0,1.268914911E1,5.651155588E0,1.872859314E1,2.331759562E1
2.525635917E0,1.287596882E1,6.289720069E0,1.910275063E1,2.388024776E1
2.535602917E0,1.317615317E1,6.710142476E0,1.975942569E1,2.467938265E1
2.545569917E0,1.352923729E1,6.772742767E0,2.028833207E1,2.530862945E1
2.555537917E0,1.389553845E1,6.536981862E0,2.065242650E1,2.573598339E1
2.565504917E0,1.443261574E1,6.423670424E0,2.098852913E1,2.626941746E1
2.575471917E0,1.525982952E1,6.520516103E0,2.122194530E1,2.693975667E1
2.585438917E0,1.616098135E1,6.520876291E0,2.111517046E1,2.737790294E1
2.595406917E0,1.707428486E1,6.004025112E0,2.061005055E1,2.742906679E1
2.605373917E0,1.786361102E1,5.192260841E0,2.010067387E1,2.738804961E1
2.615340917E0,1.841086363E1,4.201643692E0,1.928981826E1,2.699464387E1
2.625307917E0,1.868582661E1,3.012346925E0,1.797011221E1,2.609902839E1
2.635275917E0,1.894127275E1,1.874908530E0,1.666462776E1,2.529816028E1
2.645242917E0,1.928563867E1,7.548889893E-1,1.525249477E1,2.459968116E1
2.655209917E0,1.934836409E1,-5.113898796E-1,1.390877070E1,2.383431591E1
2.665176917E0,1.912215987E1,-1.502677705E0,1.258026810E1,2.293857415E1
2.675144917E0,1.869095695E1,-2.394168177E0,1.116173593E1,2.190133014E1
2.685111917E0,1.821055556E1,-3.655631279E0,9.747530102E0,2.097623219E1
2.695078917E0,1.789665364E1,-5.091831989E0,8.734454382E0,2.055499107E1
2.705045917E0,1.786486584E1,-6.425547380E0,7.744918383E0,2.050426422E1
2.715013917E0,1.800988731E1,-7.903408917E0,6.819339813E0,2.081641921E1
2.724980917E0,1.840338738E1,-9.386221291E0,6.038038951E0,2.152309763E1
2.734947917E0,1.896184325E1,-1.097360761E1,5.409086123E0,2.256612010E1
2.744914917E0,1.983746964E1,-1.285025627E1,5.136274336E0,2.418750922E1
2.754881917E0,2.095755760E1,-1.469908622E1,5.248012873E0,2.613090116E1
2.764849917E0,2.239131125E1,-1.661024515E1,5.264343562E0,2.837224659E1
2.774816917E0,2.414871530E1,-1.874255396E1,5.145303022E0,3.099867614E1
2.784783917E0,2.552550771E1,-2.099853956E1,5.095457847E0,3.344329377E1
2.794750917E0,2.624651150E1,-2.295789241E1,5.177511824E0,3.525267109E1
2.804718917E0,2.662782715E1,-2.464447499E1,5.283628263E0,3.666480675E1
2.814685917E0,2.678129551E1,-2.644633425E1,5.383620329E0,3.802143806E1
2.824652917E0,2.671105174E1,-2.822564665E1,5.030781795E0,3.918515254E1
2.834619917E0,2.612664358E1,-2.986580935E1,4.296010151E0,3.991270195E1
2.844587917E0,2.512041963E1,-3.150133638E1,3.089657056E0,4.040935111E1
2.854554917E0,2.349201685E1,-3.297666374E1,2.815284648E0,4.058646369E1
2.864521917E0,2.072708375E1,-3.384244459E1,3.404101603E0,3.983103016E1
2.874488917E0,1.798793101E1,-3.391374787E1,3.505709839E0,3.854864405E1
2.884456917E0,1.569520384E1,-3.392275726E1,2.687494919E0,3.747419796E1
2.894423917E0,1.292375928E1,-3.328339464E1,1.880982617E0,3.575396493E1
2.904390917E0,1.006499123E1,-3.263037058E1,1.697313387E0,3.418955988E1
2.914357917E0,7.248340085E0,-3.105028919E1,1.838862784E0,3.193806990E1
2.924325917E0,5.520000202E0,-2.933095051E1,2.110489340E0,2.992038143E1
2.934292917E0,4.213642178E0,-2.794629943E1,3.030953350E0,2.842423457E1
2.944259917E0,3.378856834E0,-2.686143511E1,4.228785882E0,2.740138682E1
2.954226917E0,2.372494887E0,-2.563399462E1,5.114676476E0,2.624672032E1
2.964194917E0,1.310414237E0,-2.447672539E1,6.144134924E0,2.527009428E1
2.974161917E0,3.624338150E-2,-2.334396067E1,6.824404671E0,2.432106726E1
2.984128917E0,-1.155147273E0,-2.202786703E1,7.100690289E0,2.317285252E1
2.994095917E0,-2.068857749E0,-2.113914639E1,7.263325914E0,2.244770781E1
3.004063917E0,-3.140981576E0,-2.087995335E1,6.851822265E0,2.219877667E1
3.014030917E0,-4.563622593E0,-2.007730840E1,6.284861033E0,2.152729528E1
3.023997917E0,-5.450510137E0,-1.897849145E1,6.023816768E0,2.064406856E1
3.033964917E0,-6.154399711E0,-1.831299060E1,5.923000245E0,2.020703324E1
3.043932917E0,-7.139596492E0,-1.818092421E1,6.169654512E0,2.048376138E1
3.053899917E0,-8.344899427E0,-1.822846208E1,6.315376482E0,2.101899513E1
3.063866917E0,-1.002828709E1,-1.806631879E1,6.037885169E0,2.152706375E1
3.073833917E0,-1.166216754E1,-1.790954441E1,5.811517231E0,2.214794946E1
3.083800917E0,-1.322965870E1,-1.782465219E1,5.596723273E0,2.289247489E1
3.093768917E0,-1.451752199E1,-1.749101943E1,5.170261862E0,2.331149529E1
3.103735917E0,-1.561166935E1,-1.684887119E1,4.548920939E0,2.341583571E1
3.113702917E0,-1.668117889E1,-1.615663336E1,3.719662968E0,2.351880999E1
3.123669917E0,-1.724182279E1,-1.552139068E1,3.615752099E0,2.347909038E1
3.133637917E0,-1.678667903E1,-1.506587972E1,4.931159273E0,2.308873440E1
3.143604917E0,-1.593450231E1,-1.473264222E1,6.623756297E0,2.268993738E1
