"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.973820083E0,2.695863688E1,-2.957996003E1,7.827572869E0,4.078005683E1
1.983787083E0,2.591855287E1,-2.794053174E1,8.774599611E0,3.910803364E1
1.993754083E0,2.486582251E1,-2.622089368E1,9.489282560E0,3.736162306E1
2.003721083E0,2.414614954E1,-2.448637563E1,1.014100269E1,3.585329922E1
2.013688083E0,2.376182843E1,-2.341128785E1,1.119179997E1,3.518478756E1
2.023656083E0,2.340323273E1,-2.202889848E1,1.252757534E1,3.449527235E1
2.033623083E0,2.295158443E1,-1.986294947E1,1.341105922E1,3.318385901E1
2.043590083E0,2.253540769E1,-1.793147147E1,1.356003458E1,3.183169500E1
2.053557083E0,2.202854531E1,-1.601522429E1,1.342690517E1,3.036488103E1
2.063524083E0,2.116705632E1,-1.407095375E1,1.326335387E1,2.866971518E1
2.073491083E0,2.032707338E1,-1.280356859E1,1.327258896E1,2.744599969E1
2.083459083E0,1.980763247E1,-1.174128855E1,1.386822260E1,2.687987647E1
2.093426083E0,1.934796882E1,-1.100675781E1,1.448679253E1,2.655861014E1
2.103393083E0,1.847562856E1,-1.081693965E1,1.492664582E1,2.609903810E1
2.113360083E0,1.717492246E1,-1.049408330E1,1.585535557E1,2.562217879E1
2.123327083E0,1.602679126E1,-1.015086811E1,1.690174639E1,2.540801433E1
2.133294083E0,1.486052550E1,-9.695843639E0,1.734673821E1,2.481438955E1
2.143262083E0,1.372936059E1,-8.923393123E0,1.836865960E1,2.460751800E1
2.153229083E0,1.270701001E1,-7.780482903E0,2.097160495E1,2.572571149E1
2.163196083E0,1.176781737E1,-6.320592198E0,2.336605379E1,2.691475211E1
2.173163083E0,1.128343753E1,-4.514783725E0,2.582579498E1,2.854244070E1
2.183130083E0,1.156710000E1,-2.847026258E0,2.835664767E1,3.075715897E1
2.193097083E0,1.233407811E1,-1.193335292E0,3.068061652E1,3.308857449E1
2.203065083E0,1.415301475E1,3.388669778E-1,3.262055427E1,3.556013524E1
2.213032083E0,1.629699226E1,1.981926902E0,3.387454112E1,3.764312058E1
2.222999083E0,1.778629680E1,3.264845777E0,3.482410322E1,3.923939012E1
2.232966083E0,1.841001228E1,4.392671642E0,3.486562079E1,3.967159726E1
2.242933083E0,1.829344920E1,5.299237406E0,3.492298899E1,3.977873000E1
2.252900083E0,1.869073125E1,5.657500402E0,3.524880520E1,4.029676183E1
2.262868083E0,1.931154183E1,5.706014165E0,3.435490860E1,3.982152672E1
2.272835083E0,1.949331540E1,5.125469266E0,3.280616361E1,3.850330052E1
2.282802083E0,1.934417514E1,4.046402163E0,3.117287255E1,3.690959856E1
2.292769083E0,1.909608363E1,2.337585986E0,2.926200014E1,3.501984252E1
2.302735292E0,1.816095363E1,5.207321222E-1,2.702249082E1,3.256234649E1
2.312702292E0,1.708564249E1,-1.506502076E0,2.450450668E1,2.991086049E1
2.322670292E0,1.594781291E1,-3.696882216E0,2.188876177E1,2.733345143E1
2.332637292E0,1.485031276E1,-5.620500391E0,1.995213588E1,2.549920665E1
2.342604292E0,1.431342960E1,-7.126523287E0,1.849746557E1,2.445031357E1
2.352571292E0,1.449354723E1,-8.351278154E0,1.719503454E1,2.398908024E1
2.362538292E0,1.521136078E1,-9.495130361E0,1.593935316E1,2.399178978E1
2.372505292E0,1.634048268E1,-1.041976636E1,1.494378284E1,2.447242429E1
2.382473292E0,1.778459292E1,-1.141223415E1,1.417149312E1,2.544331053E1
2.392440292E0,1.917007781E1,-1.267736229E1,1.332816207E1,2.656778692E1
2.402407292E0,2.022916527E1,-1.434403627E1,1.244785440E1,2.774742480E1
2.412374292E0,2.104431624E1,-1.592267106E1,1.164326232E1,2.884372128E1
2.422341292E0,2.185816914E1,-1.735085465E1,1.043370027E1,2.979419099E1
2.432308292E0,2.270690185E1,-1.883784603E1,9.133402889E0,3.088505922E1
2.442276292E0,2.381026910E1,-2.013843519E1,8.022138970E0,3.220000311E1
2.452243292E0,2.537577689E1,-2.157562934E1,7.481386712E0,3.413808696E1
2.462210292E0,2.713591277E1,-2.325505727E1,7.637414399E0,3.654429571E1
2.472177292E0,2.860010468E1,-2.523800480E1,8.127028078E0,3.899963409E1
